Country Code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
BGR,7250996,7310533,7372016,7434686,7497950,7561487,7625194,7689135,7753612,7819004,7885607,7953472,8022157,8090703,8157834,8222588,8284449,8343494,8400012,8454584,8507541,8559035,8608660,8655707,8699174,8738386,8772556,8801899,8828030,8853207,8878787,8905097,8930708,8953122,8968909,8975353,8972555,8960554,8936652,8897541,8841466,8767000,8676379,8576042,8474822,8379305,8291969,8211804,8137669,8067005,7997951,7930700,7866242,7804306,7744630,7686964,7631020,7576675,7524084,7473509,7425011,7378652,7334007,7290092,7245648,7199739,7151948,7102452,7051610,7000117,6948445,6896655,6844591,6792227,6739537,6686471,6633107,6579497,6525611,6471366,6416748,6361791,6306571,6251260,6196052,6141135,6086550,6032365,5978686,5925630,5873293,5821743,5770964,5720907,5671491,5622639,5574322,5526541,5479199,5432187,5385444,5338924,5292597,5246382,5200230,5154073,5107914,5061732,5015574,4969477,4923488,4877636,4831952,4786549,4741545,4697033,4653111,4609791,4567131,4525182,4484015,4443663,4404154,4365532,4327842,4291096,4255325,4220498,4186674,4153858,4122076,4091328,4061519,4032596,4004439,3976948,3950051,3923714,3897780,3872113,3846580,3821086,3795604,3770085,3744544,3718934,3693229,3667371,3641323,3615019,3588337
BHR,115612,116828,119590,123496,128250,133580,139261,145107,150981,156780,162429,167899,173140,178142,182888,187432,191785,196060,200652,206037,212607,220311,229151,239527,251908,266540,283746,303169,323468,342804,359897,374120,385953,396451,407233,419428,433478,448981,465198,481081,495927,509762,523082,536212,549590,563698,578661,594927,613697,636540,664610,697550,735140,778708,829846,889157,958423,1035924,1114645,1185075,1240864,1278153,1299942,1315029,1336073,1371853,1425793,1494077,1569440,1641164,1701583,1748295,1783985,1811996,1837728,1865087,1894879,1925732,1956738,1986341,2013419,2037893,2060329,2081024,2100461,2118994,2136706,2153576,2169648,2185019,2199706,2213814,2227366,2240379,2252816,2264658,2275949,2286709,2296964,2306736,2316047,2324912,2333332,2341342,2348924,2356108,2362913,2369315,2375318,2380916,2386098,2390871,2395215,2399139,2402635,2405699,2408325,2410499,2412231,2413511,2414338,2414708,2414613,2414051,2413031,2411550,2409594,2407178,2404309,2400974,2397212,2392999,2388367,2383303,2377820,2371920,2365595,2358908,2351853,2344465,2336781,2328815,2320607,2312209,2303647,2294984,2286254,2277528,2268856,2260284,2251891
BHS,79090,79989,81434,83373,85783,88628,91897,95617,99776,104415,109532,115119,121092,127340,133705,140060,146381,152621,158648,164265,169376,173894,177863,181519,185105,188895,192903,197100,201482,205991,210589,215321,220182,225095,229913,234579,239020,243265,247451,251738,256226,261007,266028,271065,275849,280179,283980,287363,290600,294063,298045,302618,307657,313123,318893,324848,331032,337387,343680,349600,354936,359583,363581,367162,370625,374200,377923,381749,385635,389486,393248,396914,400515,404048,407522,410933,414274,417547,420734,423828,426810,429699,432471,435131,437669,440098,442390,444575,446643,448603,450460,452198,453841,455374,456798,458134,459363,460498,461539,462472,463329,464096,464772,465381,465931,466431,466877,467289,467650,467989,468290,468566,468811,469049,469256,469437,469604,469748,469861,469953,470022,470060,470063,470040,469975,469867,469716,469525,469300,469029,468734,468400,468040,467636,467218,466765,466298,465804,465308,464804,464300,463812,463326,462856,462403,461951,461531,461129,460759,460418,460116
BIH,2661296,2710653,2764711,2821306,2878842,2936300,2993279,3049928,3106896,3165192,3225664,3288604,3353228,3417573,3478999,3535632,3586630,3632678,3675448,3717476,3760536,3805286,3851153,3897259,3942221,3985107,4025271,4063188,4100354,4138816,4179850,4222479,4265183,4307907,4350566,4392135,4435925,4479516,4509462,4507819,4463422,4369320,4233673,4078940,3936527,3829049,3764419,3736070,3734338,3743353,3751176,3755514,3759389,3762179,3764194,3765332,3765422,3762791,3754261,3735945,3705478,3661173,3604972,3542598,3482106,3429362,3386263,3351534,3323929,3300998,3280815,3263459,3249313,3237054,3225034,3211963,3197236,3180893,3163267,3145028,3126642,3108112,3089161,3069798,3050019,3029825,3009220,2988236,2966885,2945161,2923078,2900642,2877887,2854804,2831385,2807633,2783577,2759236,2734667,2709920,2685037,2660049,2634996,2609926,2584945,2560079,2535389,2510884,2486591,2462504,2438645,2415039,2391669,2368555,2345679,2323015,2300587,2278369,2256352,2234483,2212754,2191137,2169644,2148267,2127030,2105921,2084952,2064106,2043406,2022842,2002425,1982144,1962028,1942076,1922314,1902740,1883375,1864243,1845318,1826654,1808259,1790146,1772308,1754776,1737548,1720627,1704033,1687763,1671835,1656260,1641054
BLM,1996,2059,2115,2169,2214,2246,2272,2281,2291,2300,2306,2322,2342,2365,2376,2384,2368,2357,2337,2332,2345,2366,2406,2458,2518,2596,2689,2811,2919,3017,3085,3099,3109,3110,3188,3370,3669,4072,4533,4972,5345,5635,5849,6028,6183,6365,6560,6764,6975,7196,7416,7658,7902,8137,8360,8555,8740,8870,9012,9115,9234,9340,9446,9548,9620,9696,9745,9788,9824,9853,9885,9909,9946,9988,10023,10058,10091,10126,10161,10190,10224,10250,10295,10328,10357,10387,10416,10455,10488,10530,10554,10589,10610,10647,10675,10697,10727,10753,10781,10805,10828,10844,10864,10875,10887,10893,10904,10913,10908,10917,10924,10919,10921,10917,10913,10910,10899,10895,10886,10879,10867,10861,10844,10824,10809,10783,10773,10759,10739,10714,10696,10676,10650,10626,10608,10582,10552,10531,10500,10473,10439,10411,10382,10355,10322,10301,10265,10244,10211,10179,10139
BLR,7745004,7698813,7677429,7679688,7703776,7747215,7806815,7878768,7958727,8042109,8124881,8204343,8279893,8353294,8427839,8505724,8587174,8670567,8754200,8835743,8913549,8987034,9056732,9123451,9188463,9252780,9316324,9378923,9441415,9504864,9569847,9636152,9703088,9770125,9836582,9901493,9965178,10026470,10081209,10124000,10151135,10160785,10154338,10135133,10108280,10077606,10044854,10009393,9969986,9924440,9871635,9811399,9745932,9679235,9616628,9562083,9516884,9480514,9452855,9433159,9420576,9415316,9417045,9423502,9431742,9439424,9445638,9450233,9452615,9452409,9449321,9442867,9432804,9419494,9403529,9385441,9365302,9343086,9318852,9292717,9264777,9235178,9204128,9171941,9138991,9105599,9071924,9038100,9004337,8970849,8937820,8905353,8873484,8842198,8811406,8781034,8751082,8721533,8692294,8663235,8634216,8605227,8576193,8547022,8517584,8487785,8457595,8427018,8395986,8364525,8332608,8300260,8267529,8234468,8201188,8167763,8134256,8100772,8067446,8034482,8002037,7970201,7939072,7908766,7879433,7851174,7824071,7798154,7773474,7750115,7728088,7707377,7687958,7669789,7652774,7636820,7621858,7607802,7594452,7581605,7569058,7556643,7544260,7531781,7519092,7506072,7492560,7478395,7463343,7447193,7429673
BLZ,68915,71239,73430,75551,77688,79867,82134,84508,86952,89486,92068,94700,97392,100165,103069,106120,109348,112707,116065,119269,122184,124795,127152,129294,131305,133264,135143,136990,138975,141302,144142,147572,151486,155820,160341,164918,169569,174333,179023,183471,187554,191136,194324,197625,201679,206962,213660,221575,230248,238979,247310,255068,262387,269428,276516,283798,291338,299031,306822,314655,322465,330236,338001,345707,353366,360926,368399,375775,383071,390351,397621,404915,412201,419429,426622,433725,440711,447615,454394,461066,467640,474074,480385,486567,492632,498558,504346,509996,515518,520905,526156,531272,536257,541087,545796,550348,554753,559022,563150,567160,571048,574823,578502,582041,585472,588769,591943,594998,597919,600723,603410,605969,608422,610738,612941,615017,616973,618794,620491,622063,623516,624842,626048,627142,628110,628950,629682,630285,630768,631147,631428,631583,631656,631632,631492,631289,630981,630617,630174,629637,629058,628403,627708,626948,626130,625279,624377,623434,622468,621467,620439
BMU,37256,37800,38437,39142,39914,40709,41535,42370,43227,44091,44986,45899,46815,47723,48592,49382,50118,50785,51387,51979,52565,53154,53750,54327,54882,55399,55877,56318,56751,57170,57580,57987,58390,58785,59181,59594,60011,60422,60839,61243,61630,62012,62391,62750,63101,63439,63770,64092,64390,64703,65016,65330,65652,65936,66156,66260,66240,66126,65940,65675,65388,65075,64736,64381,64038,63695,63360,63040,62763,62508,62273,62092,61942,61806,61674,61518,61338,61156,60938,60719,60487,60253,60001,59732,59445,59167,58862,58545,58215,57873,57506,57135,56750,56346,55932,55518,55078,54630,54185,53738,53278,52827,52374,51920,51480,51038,50611,50189,49784,49375,49002,48611,48246,47892,47558,47212,46894,46582,46283,45983,45686,45394,45101,44812,44530,44233,43947,43661,43363,43075,42777,42481,42185,41881,41571,41273,40963,40653,40348,40048,39749,39449,39150,38860,38568,38281,38002,37724,37457,37188,36933
BOL,3081836,3124343,3170680,3220683,3274205,3331036,3390970,3453779,3519193,3586996,3656961,3728954,3802996,3879191,3957759,4038865,4122517,4208683,4297522,4389248,4484004,4581752,4682392,4785916,4892294,5001413,5113458,5228253,5344946,5462413,5579932,5697098,5814344,5932812,6054126,6179460,6309129,6442824,6580318,6721117,6864839,7011456,7160917,7312857,7466792,7622334,7779268,7937453,8096761,8257066,8418270,8580244,8742822,8905820,9069044,9232301,9395449,9558438,9721457,9884790,10048597,10212951,10377677,10542375,10706517,10869732,11031822,11192853,11353140,11513102,11673029,11832936,11992647,12151990,12310678,12468481,12625334,12781163,12935767,13088894,13240382,13390064,13537888,13683876,13828079,13970508,14111140,14249869,14386538,14520997,14653104,14782784,14910006,15034776,15157173,15277191,15394833,15510024,15622647,15732522,15839561,15943668,16044862,16143206,16238850,16331895,16422322,16510050,16594954,16676860,16755634,16831219,16903601,16972747,17038611,17101166,17160387,17216254,17268767,17317946,17363807,17406359,17445616,17481599,17514289,17543728,17569932,17592932,17612853,17629833,17643957,17655303,17663911,17669771,17672875,17673231,17670860,17665845,17658257,17648202,17635738,17620944,17603879,17584558,17563045,17539368,17513591,17485789,17456021,17424384,17390956
BRA,53974728,55606413,57283658,58999276,60749490,62533920,64355709,66221469,68140426,70123372,72179235,74311338,76514329,78772647,81064572,83373533,85696502,88035815,90387079,92746607,95113265,97482928,99859388,102259497,104706193,107216209,109790943,112425392,115121158,117878412,120694012,123570327,126498322,129448815,132383568,135274083,138108915,140891606,143627505,146328305,149003225,151648007,154259382,156849086,159432717,162019889,164614682,167209046,169785253,172318674,174790339,177196051,179537523,181809244,184006479,186127108,188167353,190130445,192030362,193886505,195713637,197514541,199287292,201035904,202763744,204471759,206163056,207833825,209469320,211049519,212559409,213993441,215353588,216641839,217863036,219020908,220114734,221142806,222106891,223009378,223852116,224636207,225361772,226028561,226635918,227183587,227672152,228102792,228476582,228794863,229058886,229269363,229427254,229534388,229592903,229604529,229570367,229490822,229366085,229195948,228980400,228719986,228415333,228066561,227673680,227236820,226756447,226233195,225667564,225060161,224411614,223722738,222994375,222227235,221422133,220579947,219701812,218789029,217843091,216865679,215858439,214823045,213761109,212674290,211564312,210433012,209282011,208113349,206929848,205734652,204530517,203319422,202102878,200882481,199659675,198435852,197212404,195990720,194771950,193557170,192347340,191143397,189946180,188756443,187574889,186402101,185238551,184084623,182940584,181806613,180682762
BRB,210990,215724,219669,222854,225324,227132,228406,229270,229883,230402,230985,231718,232623,233632,234588,235415,236084,236661,237241,237963,238895,240093,241523,243076,244643,246158,247584,248931,250200,251347,252388,253296,254078,254791,255493,256260,257117,258012,258970,259961,260933,261911,262890,263869,264893,265955,267047,268183,269334,270455,271511,272494,273423,274331,275283,276320,277475,278701,279946,281107,282131,282987,283698,284294,284825,285327,285798,286229,286640,287021,287371,287708,288023,288314,288567,288801,288999,289167,289306,289395,289447,289451,289401,289311,289157,288920,288618,288243,287779,287259,286640,285967,285207,284377,283481,282522,281517,280454,279344,278192,277019,275811,274587,273350,272100,270845,269587,268340,267083,265841,264599,263363,262117,260887,259661,258442,257213,255987,254760,253537,252303,251063,249818,248569,247321,246058,244797,243540,242263,240992,239718,238442,237149,235857,234562,233280,231989,230716,229444,228166,226902,225655,224405,223166,221923,220713,219500,218304,217121,215955,214788
BRN,48009,50933,53885,56918,60058,63367,66807,70394,74095,77880,81707,85560,89484,93540,97819,102390,107274,112446,117897,123596,129530,135672,142015,148516,155069,161635,168173,174717,181201,187596,193880,200027,206064,212073,218176,224440,230917,237565,244405,251456,258714,266208,273888,281684,289452,297112,304620,311962,319135,326214,333166,340037,346777,353295,359434,365112,370262,374967,379418,383902,388634,393687,398997,404414,409778,414914,419791,424481,428960,433296,437483,441532,445429,449169,452767,456182,459465,462584,465548,468352,470987,473462,475784,477936,479927,481782,483482,485029,486435,487690,488817,489799,490658,491373,491954,492384,492676,492827,492830,492692,492391,491936,491330,490579,489674,488649,487478,486196,484773,483248,481607,479868,478025,476088,474086,472007,469868,467679,465437,463147,460830,458497,456134,453760,451366,448978,446589,444193,441806,439429,437036,434654,432286,429911,427542,425182,422819,420471,418116,415762,413405,411060,408692,406333,403977,401625,399267,396913,394563,392218,389884
BTN,176796,180813,184759,188783,193006,197458,202194,207197,212424,217808,223284,228849,234552,240529,246961,253993,261664,269944,278731,287886,297307,306957,316822,326986,337491,348395,359721,371424,383324,395192,406883,418107,428938,439823,451471,464264,478683,494313,509532,522173,530801,534637,534525,532590,531905,534629,541471,551713,564378,577886,591014,603643,616025,627840,638809,648744,657404,664873,671611,678329,685502,693297,701582,710235,719053,727885,736706,745563,754396,763094,771612,779900,787944,795731,803268,810544,817551,824276,830696,836838,842668,848204,853432,858375,863008,867377,871453,875249,878781,882074,885158,888017,890663,893101,895339,897388,899234,900905,902355,903593,904614,905416,905983,906306,906368,906153,905674,904917,903873,902558,900936,899042,896867,894406,891663,888639,885343,881785,877963,873906,869608,865078,860350,855417,850280,844980,839510,833885,828111,822223,816213,810112,803924,797647,791293,784871,778391,771871,765298,758697,752089,745470,738845,732220,725611,718998,712406,705838,699284,692767,686287
BWA,412541,424002,435031,445334,454780,463353,471234,478664,486080,493960,502733,512688,523777,535692,547870,559996,571957,584098,596946,611297,627714,646350,667096,689906,714701,741346,769982,800532,832467,865073,897860,930412,962859,996124,1031439,1069585,1110948,1154904,1200073,1244484,1286756,1326321,1363541,1399110,1434061,1469173,1504724,1540424,1575827,1610260,1643333,1674674,1704637,1734387,1765533,1799077,1835911,1875458,1915636,1953495,1987106,2015406,2039551,2062551,2088619,2120716,2159925,2205076,2254067,2303703,2351625,2397240,2441154,2483754,2525765,2567780,2609707,2651307,2692573,2733578,2774344,2814885,2855189,2895284,2935129,2974720,3014045,3053080,3091758,3130017,3167789,3205032,3241732,3277803,3313226,3347922,3381853,3415026,3447392,3478997,3509813,3539841,3569062,3597465,3625017,3651698,3677526,3702496,3726628,3749964,3772518,3794301,3815330,3835631,3855198,3874080,3892264,3909775,3926616,3942791,3958322,3973198,3987438,4001071,4014118,4026618,4038562,4049967,4060822,4071108,4080840,4090006,4098620,4106666,4114162,4121116,4127515,4133386,4138720,4143535,4147839,4151654,4154977,4157830,4160223,4162175,4163697,4164800,4165519,4165866,4165861
CAF,1326660,1341722,1356120,1370516,1385454,1401337,1418483,1437062,1457120,1478677,1501668,1526057,1551908,1579375,1608618,1639706,1673019,1708306,1744198,1778870,1811157,1840517,1867786,1894850,1924386,1958367,1997017,2039914,2087661,2140778,2199359,2264441,2335339,2408322,2478382,2542170,2597765,2646836,2693974,2745735,2806740,2878507,2959236,3046148,3135017,3222662,3308235,3392432,3475485,3558019,3640421,3722016,3802129,3881185,3959883,4038380,4118075,4198004,4273368,4337623,4386765,4418639,4436411,4447945,4464171,4493171,4537683,4596023,4666375,4745179,4829764,4919987,5016678,5119136,5226574,5338265,5453695,5572383,5693742,5817201,5942207,6068360,6195290,6322641,6450111,6577417,6704284,6830549,6956129,7081003,7205166,7328516,7450950,7572512,7693276,7813306,7932567,8050989,8168556,8285231,8400954,8515695,8629422,8742061,8853595,8963955,9073061,9180861,9287273,9392248,9495690,9597525,9697664,9795954,9892261,9986415,10078337,10167955,10255146,10339794,10421779,10501049,10577557,10651236,10722042,10789987,10855024,10917133,10976323,11032622,11086012,11136528,11184200,11229132,11271429,11311206,11348512,11383384,11415851,11445960,11473756,11499245,11522507,11543537,11562411,11579140,11593748,11606278,11616722,11625095,11631410
CAN,13733398,14078449,14445453,14834905,15245416,15673764,16114734,16561262,17004835,17436204,17847404,18233965,18596848,18943237,19284228,19627973,19975695,20324786,20674999,21025257,21374326,21723465,22072193,22415313,22745896,23059266,23354587,23634377,23901716,24161133,24416885,24668159,24916538,25171436,25444886,25744807,26075504,26432894,26806125,27179497,27541323,27888813,28224410,28547964,28860734,29164153,29457820,29742378,30022078,30302511,30588379,30880072,31178260,31488046,31815490,32164313,32536994,32930795,33337638,33746093,34147566,34539156,34922031,35296535,35664338,36026668,36382942,36732091,37074558,37411038,37742157,38067913,38388416,38704479,39017093,39326964,39634342,39939039,40240809,40539186,40833733,41124507,41411400,41693455,41969503,42238708,42500814,42756083,43004972,43248162,43486273,43719526,43948081,44172494,44393406,44611362,44826844,45040171,45251593,45461265,45669453,45876434,46082717,46288984,46496049,46704574,46914808,47126934,47341451,47558857,47779462,48003429,48230567,48460342,48691992,48924855,49158728,49393427,49628332,49862717,50096008,50327916,50558360,50787254,51014614,51240458,51464782,51687574,51908976,52129142,52348310,52566635,52784331,53001640,53218877,53436323,53654197,53872760,54092686,54314750,54539540,54767374,54998362,55232423,55469435,55709296,55951978,56197541,56446106,56697908,56953224
CHE,4668089,4721916,4781123,4841507,4900462,4957070,5012094,5067973,5128443,5198063,5280683,5377764,5487049,5601812,5712708,5812844,5899478,5973940,6038328,6096427,6150848,6202951,6251286,6292538,6322006,6337031,6335977,6321816,6302042,6286910,6283833,6295921,6321409,6356743,6396144,6435424,6473047,6510593,6550730,6597360,6652873,6718818,6792906,6868937,6938407,6995519,7038027,7068503,7091775,7115031,7143764,7179174,7220378,7268363,7323728,7386818,7457961,7536986,7622826,7713902,7808674,7906988,8008006,8108876,8206003,8296775,8379915,8455797,8525614,8591361,8654618,8715494,8773640,8829560,8883855,8936934,8989146,9040488,9090616,9138966,9185114,9229049,9270955,9310997,9349386,9386283,9421788,9455895,9488752,9520523,9551354,9581288,9610387,9638707,9666309,9693234,9719544,9745253,9770267,9794450,9817716,9840083,9861629,9882369,9902374,9921703,9940393,9958543,9976321,9993923,10011506,10029159,10046939,10064982,10083451,10102453,10122056,10142267,10162976,10184074,10205451,10227098,10249030,10271167,10293381,10315582,10337764,10359977,10382331,10405003,10428101,10451684,10475768,10500491,10526012,10552438,10579835,10608179,10637439,10667570,10698530,10730264,10762720,10795908,10829742,10864160,10899084,10934387,10969954,11005572,11041105
CHI,102235,102969,103664,104320,104956,105608,106267,106966,107711,108526,109419,110398,111464,112591,113777,114989,116229,117469,118725,119975,121200,122405,123611,124722,125680,126420,126908,127186,127395,127691,128204,128985,129976,131153,132445,133800,135242,136762,138250,139580,140677,141469,142006,142407,142867,143480,144348,145387,146500,147553,148439,149097,149591,150070,150722,151674,152999,154644,156441,158187,159718,160990,162051,163039,164107,165387,166922,168666,170496,172264,173859,175244,176461,177559,178606,179667,180738,181830,182909,183973,184992,185977,186935,187856,188765,189633,190478,191289,192065,192822,193542,194252,194914,195571,196191,196800,197369,197925,198440,198943,199427,199879,200325,200758,201162,201560,201929,202309,202660,203019,203370,203719,204068,204417,204772,205128,205497,205853,206244,206624,207023,207437,207855,208281,208725,209166,209631,210102,210573,211057,211538,212026,212510,212995,213506,214007,214519,215044,215573,216111,216649,217202,217759,218325,218898,219480,220070,220677,221278,221895,222514
